scene,sisdr_enhance,sisdr_mixture,pesq_enhance,pesq_mixture,stoi_enhance,stoi_mixture,haspi_enhance,haspi_mixture,hasqi_enhance,hasqi_mixture
S02455,4.153144955635071,0.5804283916950226,0,0,0.5860433884666625,0.6736845737471152,0.0065845065,0.0047044214,0.0071858326,0.023979438
S05981,-8.122660517692566,-10.233198404312134,0,0,0.5145236904373777,0.49680563267082295,0.006992522,0.018993609,0.0038110223,0.008053553
S01033,2.2834810614585876,-0.45664552599191666,0,0,0.6084942411455112,0.7997455637314361,0.0069718966,0.008718681,0.010644828,0.029105248
S05962,2.6068073511123657,2.2176268696784973,0,0,0.6347397754154288,0.7411870620906167,0.004874247,0.006541966,0.0024429306,0.017072093
S04492,-2.930641770362854,-12.077028751373291,0,0,0.6050803876159236,0.5429213399955577,0.012867655,0.026805704,0.000783126,0.003934723
S04110,-4.81075793504715,-13.323779106140137,0,0,0.4900195167153485,0.6245730240905,0.010220867,0.014773013,0.009235494,0.018737305
S05192,1.2976475059986115,0.7117529958486557,0,0,0.6408317588819472,0.7739240298800132,0.01435078,0.008865052,0.009099506,0.011380992
S00094,-0.9053412079811096,-8.597301840782166,0,0,0.5262642438016615,0.49861057129384717,0.01104433,0.005180417,0.0045959977,0.014337274
S05337,0.4887961968779564,-6.128442287445068,0,0,0.6935725381387134,0.6417795451004502,0.008566839,0.006162981,0.015192333,0.015187445
S03603,7.2813814878463745,2.422693967819214,0,0,0.6292976747950054,0.7585477257914445,0.008168101,0.023868125,0.0040497915,0.014377343
S01829,-1.9231939315795898,-9.909773468971252,0,0,0.5778977000879484,0.502595357784273,0.017987425,0.018424952,0.008057586,0.0036622263
S00797,-0.21767344325780869,-9.06509518623352,0,0,0.5105758427881788,0.4200731055983531,0.011561133,0.010425018,0.0040278565,0.01405544
S00654,4.552849531173706,2.739090919494629,0,0,0.7302962013847063,0.8347446813011825,0.006813392,0.007365087,0.0057476233,0.004639646
S04137,-4.136279821395874,-9.669926166534424,0,0,0.5605388181133877,0.5586242725977246,0.0057825833,0.0155673595,0.0063876305,0.01363175
S03442,0.3723286837339401,-12.517383098602295,0,0,0.5211000583442924,0.5253553784872137,0.006439583,0.030567354,0.005195987,0.00905624
S02701,2.426617294549942,-5.853211879730225,0,0,0.5912162562899429,0.6255701077817393,0.007695743,0.004125336,0.0060869968,0.0027254035
S00975,-8.162443041801453,-10.107204914093018,0,0,0.5300620199673383,0.5375637289779528,0.0052434225,0.0042544273,0.0077713868,0.009079471
S03933,-3.725039064884186,-13.947376012802124,0,0,0.2799944082159687,0.31394818705671934,0.0063555357,0.007390895,0.0030563024,0.0069545642
S01181,2.314464747905731,-3.1442031264305115,0,0,0.4990162705663094,0.5575052611959536,0.005031805,0.0048276004,0.0018554761,0.006202378
S03436,-6.553893089294434,-11.585593223571777,0,0,0.5691408244209892,0.41092258658365954,0.004250364,0.0057729282,0.0076399604,0.0031197842
S00045,2.4883493781089783,-4.609726667404175,0,0,0.5793742584373385,0.6768756891951984,0.0047055166,0.02764077,0.013264747,0.025802162
S05589,-1.4571812748908997,-8.485952615737915,0,0,0.6064177694869239,0.5654910226547676,0.005227013,0.010347013,0.0064197686,0.0042281384
S00090,-2.647385895252228,-13.837509155273438,0,0,0.5063608151547365,0.41054040919681434,0.010834615,0.033064492,0.009303444,0.00914563
S05789,0.5567994341254234,-7.878679037094116,0,0,0.5057995479029718,0.41190852534615807,0.009776515,0.0070170416,0.019272637,0.018045811
S02551,1.9063617289066315,-5.010111331939697,0,0,0.6073314275990271,0.6669039936327694,0.00699201,0.017064925,0.0043337746,0.013735933
S05649,4.028662443161011,-2.0387043058872223,0,0,0.6383811474360567,0.733137868367481,0.006869423,0.0048678163,0.004277623,0.022648415
S00240,-7.909184098243713,-13.325825929641724,0,0,0.45525323711943455,0.40926942337788996,0.00423469,0.005834658,0.0019448267,0.005334806
S04830,0.17014455050230026,-4.467536807060242,0,0,0.6073174826749717,0.5854686692442608,0.013222194,0.012274227,0.014493181,0.020886503
S02043,1.4510062336921692,-6.077011227607727,0,0,0.7287970241274833,0.720153628265455,0.004760785,0.007983211,0.009868263,0.0061841314
S02010,-2.917509377002716,-5.641834735870361,0,0,0.47415880887206524,0.510108622977989,0.0050101355,0.011267897,0.012953005,0.010625838
S01950,-6.597573757171631,-12.997634410858154,0,0,0.20802223419588367,0.39313316144855126,0.0060602194,0.0063623814,0.013148342,0.0043344474
S03871,1.687857061624527,-0.00778622692450881,0,0,0.6436707889079272,0.7235966285894868,0.006398819,0.019398194,0.005251107,0.0133210225
